season,method,reversal_rate,p_match_actual,p_elim_judge_top,p_elim_judge_bottom,p_elim_fan_top,p_elim_fan_bottom,expected_judge_rank_elim,expected_fan_rank_elim,save_override_rate
10,percent_direct,0.2634833333333333,0.7365166666666667,0.02921666666666667,0.6895833333333333,6.666666666666666e-05,0.58795,5.552033333333333,5.867349999999999,
10,percent_save,0.15864999999999999,0.8413499999999999,0.0010666666666666667,0.8354500000000001,0.0007666666666666667,0.42105,6.071133333333333,5.502316666666666,0.20023333333333335
10,rank_direct,0.17721666666666666,0.8227833333333333,0.0,0.8561000000000001,0.0007166666666666667,0.4305666666666667,6.202033333333333,5.455849999999999,
10,rank_save,0.16728333333333337,0.8327166666666667,0.0,0.9182166666666666,0.00205,0.3811333333333333,6.3735333333333335,5.168183333333333,0.12495
11,percent_direct,0.29715,0.70285,0.033112499999999996,0.4034625,3.75e-05,0.62615,5.8114125,6.9178999999999995,
11,percent_save,0.3491375,0.6508625,0.0011,0.5952999999999999,0.0010125,0.326575,6.5602374999999995,6.3793375,0.32875
11,rank_direct,0.367225,0.632775,0.0,0.64225,0.0017875,0.3648,6.7609625,6.3419375,
11,rank_save,0.5132875,0.4867125,0.0,0.8938,0.07146250000000001,0.1732375,7.11605,5.561775,0.4173
12,percent_direct,0.2425142857142857,0.7574857142857142,0.04321428571428571,0.5040285714285714,0.0044,0.7132142857142857,4.702757142857143,5.633842857142858,
12,percent_save,0.2412857142857143,0.7587142857142857,0.001042857142857143,0.7093142857142858,0.008685714285714284,0.4548571428571429,5.214342857142857,5.254028571428571,0.26865714285714287
12,rank_direct,0.22344285714285714,0.7765571428571428,0.0,0.7086285714285714,0.007557142857142858,0.4973,5.2593000000000005,5.298628571428572,
12,rank_save,0.41055714285714284,0.5894428571428572,0.0,0.9453857142857143,0.06205714285714285,0.29864285714285715,5.514957142857143,4.648814285714286,0.3756857142857143
13,percent_direct,0.31032499999999996,0.689675,0.029575,0.515,0.00046249999999999997,0.6513249999999999,5.8412,7.0230625,
13,percent_save,0.22756249999999997,0.7724375,0.00041249999999999994,0.6697,0.0013750000000000001,0.4301875,6.5550375,6.6270625,0.24215
13,rank_direct,0.2659375,0.7340625,0.0,0.7380125,0.0006000000000000001,0.403675,7.02115,6.3596875,
13,rank_save,0.3176,0.6824,0.0,0.885675,0.0090875,0.3043,7.2878375,5.80315,0.20325000000000001
14,percent_direct,0.26263333333333333,0.7373666666666666,0.18851666666666667,0.4263166666666667,0.005683333333333333,0.7545666666666667,4.526033333333333,5.8555166666666665,
14,percent_save,0.35928333333333334,0.6407166666666667,0.0008166666666666666,0.7233499999999999,0.16335000000000002,0.40304999999999996,5.1496,5.397916666666666,0.3656
14,rank_direct,0.3382,0.6618,0.0,0.7302,0.16340000000000002,0.43045,5.216366666666667,5.408883333333333,
14,rank_save,0.48951666666666666,0.5104833333333333,0.0,0.9237833333333333,0.19361666666666666,0.2870333333333333,5.422433333333333,4.8225,0.24840000000000004
15,percent_direct,0.41508,0.58492,0.16512000000000002,0.2222,0.0,0.75942,5.214740000000001,7.69656,
15,percent_save,0.47012,0.52988,0.02814,0.3489,0.0,0.41906,6.34972,7.2014,0.35066
15,rank_direct,0.53246,0.46753999999999996,0.0,0.47675999999999996,0.00035999999999999997,0.35778,7.143859999999999,6.712300000000001,
15,rank_save,0.6452600000000001,0.35474,0.0,0.7028000000000001,0.00886,0.2178,7.56468,5.77988,0.3317
16,percent_direct,0.23668,0.76332,0.027033333333333336,0.6906833333333333,0.00036666666666666667,0.5439166666666667,6.23495,6.654633333333333,
16,percent_save,0.08497999999999999,0.91502,0.00045000000000000004,0.8425833333333334,0.0008333333333333334,0.36925,6.777233333333334,6.284566666666667,0.20258333333333334
16,rank_direct,0.10474000000000001,0.8952600000000001,0.0,0.8473833333333333,3.3333333333333335e-05,0.39818333333333333,6.880733333333333,6.2954333333333325,
16,rank_save,0.034620000000000005,0.96538,0.0,0.9417166666666666,0.0007500000000000001,0.3336166666666667,7.056033333333333,5.9672833333333335,0.18928333333333333
17,percent_direct,0.30455714285714286,0.6954428571428571,0.1208,0.27768571428571426,0.00035714285714285714,0.6726714285714286,4.861342857142858,6.512185714285714,
17,percent_save,0.46612857142857145,0.5338714285714286,0.019714285714285712,0.46830000000000005,0.003971428571428571,0.3007714285714286,5.832285714285715,5.901057142857143,0.39089999999999997
17,rank_direct,0.5005571428571428,0.4994428571428572,0.0,0.5791285714285713,0.005342857142857143,0.29722857142857145,6.273542857142857,5.668114285714286,
17,rank_save,0.6556428571428572,0.34435714285714286,0.0,0.8175571428571429,0.07874285714285713,0.1197142857142857,6.653671428571428,4.8492428571428565,0.39597142857142853
18,percent_direct,0.30588,0.6941200000000001,0.08078333333333333,0.4822166666666667,0.0,0.7812166666666668,4.9894,6.889733333333333,
18,percent_save,0.28250000000000003,0.7175,0.011716666666666667,0.7260166666666666,1.6666666666666667e-05,0.47809999999999997,5.764783333333334,6.478533333333334,0.30965
18,rank_direct,0.29281999999999997,0.70718,0.0,0.82865,0.00035,0.44611666666666666,6.0544166666666674,6.298816666666667,
18,rank_save,0.40831999999999996,0.59168,0.0,0.9789499999999999,0.025866666666666663,0.31468333333333337,6.292566666666667,5.86615,0.25303333333333333
19,percent_direct,0.3149285714285714,0.6850714285714286,0.033614285714285715,0.38485714285714284,7.142857142857143e-05,0.6176428571428572,6.352842857142858,7.427842857142857,
19,percent_save,0.27312857142857144,0.7268714285714285,0.0013571428571428571,0.5399714285714285,0.0002285714285714286,0.3856428571428571,7.030628571428571,6.947914285714286,0.2684
19,rank_direct,0.28861428571428577,0.7113857142857143,0.0,0.5779714285714286,7.142857142857143e-05,0.41557142857142854,7.189842857142857,6.951857142857143,
19,rank_save,0.4030142857142857,0.5969857142857143,0.0,0.7542857142857143,0.004271428571428571,0.27954285714285715,7.5689142857142855,6.1836142857142855,0.33775714285714287
20,percent_direct,0.3485142857142857,0.6514857142857143,0.13952857142857142,0.29760000000000003,0.00012857142857142858,0.7043428571428573,4.501828571428571,6.601342857142858,
20,percent_save,0.5159857142857143,0.48401428571428573,0.002585714285714286,0.5078142857142857,0.0029142857142857143,0.3447,5.402528571428571,6.039585714285714,0.38725714285714286
20,rank_direct,0.5873999999999999,0.41259999999999997,0.0,0.6562857142857144,0.012957142857142858,0.3383142857142857,5.983142857142857,5.678828571428572,
20,rank_save,0.7110428571428571,0.28895714285714286,0.0,0.8740285714285714,0.08777142857142858,0.18637142857142858,6.386114285714286,4.914757142857143,0.32871428571428574
21,percent_direct,0.29100000000000004,0.709,0.237425,0.554775,2.5e-05,0.7008,4.789,6.076675,
21,percent_save,0.247475,0.752525,0.0948,0.735975,0.0001,0.431775,5.730425,5.65555,0.28725
21,rank_direct,0.291975,0.708025,0.0,0.85195,0.00455,0.349775,6.2981750000000005,5.32805,
21,rank_save,0.25749999999999995,0.7425,0.0,0.971075,0.039525,0.305725,6.46785,4.96005,0.20677500000000001
22,percent_direct,0.350475,0.649525,0.19605,0.399975,0.0,0.603425,6.64025,8.35145,
22,percent_save,0.43527499999999997,0.564725,0.03665,0.563075,0.0,0.281075,7.859675,7.760425,0.345575
22,rank_direct,0.423725,0.576275,0.0,0.6831499999999999,0.00195,0.2521,8.442,7.471775,
22,rank_save,0.468025,0.531975,0.0,0.851425,0.0228,0.1557,8.79965,6.731450000000001,0.28845
23,percent_direct,0.33448571428571433,0.6655142857142857,0.15465714285714285,0.351,2.8571428571428574e-05,0.7477,5.4494,7.2465142857142855,
23,percent_save,0.3669428571428571,0.6330571428571429,0.0468,0.5369,0.00014285714285714287,0.43929999999999997,6.320142857142857,6.7828857142857135,0.329
23,rank_direct,0.4143857142857143,0.5856142857142858,0.0,0.7022571428571428,0.02832857142857143,0.38078571428571434,6.7782285714285715,6.461014285714286,
23,rank_save,0.5226571428571428,0.4773428571428572,0.0,0.8649714285714286,0.06845714285714286,0.26494285714285715,7.131642857142857,5.813514285714286,0.23517142857142856
24,percent_direct,0.3667833333333334,0.6332166666666666,0.22526666666666664,0.39325000000000004,0.00011666666666666667,0.6928,5.3524,7.423750000000001,
24,percent_save,0.5099666666666667,0.4900333333333333,9.999999999999999e-05,0.5607666666666667,0.0006166666666666667,0.30548333333333333,6.53765,6.8616,0.40406666666666663
24,rank_direct,0.5145000000000001,0.4855,0.0,0.7292833333333334,0.02655,0.2830333333333333,7.18475,6.46065,
24,rank_save,0.5180666666666667,0.4819333333333333,0.0,0.8690000000000001,0.06338333333333333,0.2107,7.47845,5.896133333333334,0.22101666666666667
25,percent_direct,0.2561,0.7439,0.03972,0.34090000000000004,0.00012000000000000002,0.7539399999999999,4.82906,5.68724,
